50: what are you talking about
37: do you want me to
30: oh my god oh my
29: in the middle of the
29: my god oh my god
29: continues singing in foreign language
27: come on come on come
26: you know what i mean
25: on come on come on
25: i don't know if i
25: what the fuck are you
25: any day now any day
24: i don't know what to
21: i lyrics in spanish i
21: nothing is going to change
21: day now any day now
20: now any day now any
20: i don't know how to
19: gurinder speaking in foreign language
19: ha ha ha ha ha
19: what are you gonna do
19: what do you know about
19: raveena speaking in foreign language
18: i don't want to go
18: don't know what to do
18: burn baby burn burn baby
18: in spanish speaking in spanish
18: baby burn burn baby burn
18: let's get out of here
18: go go go go go
18: i don't want to be
18: i don't want you to
18: what are you going to
18: speaking in spanish speaking in
17: at the end of the
17: what the hell are you
17: in the u s a
17: i'm on my way to
17: shoulda treated me right i
17: what are you looking at
17: what do you want to
16: i shoulda treated me right
16: what do you want me
16: i need to talk to
16: my way to you angel
16: on my way to you
16: party party party party party
16: what do you mean i
15: i wherever is your heart
15: what can i do for
15: i'll be hard on you
15: i love you so much
15: i don't think i can
15: born in the u s
15: when i was a kid
15: wherever is your heart i
15: is your heart i i
15: what are we gonna do
14: change nothing is going to
14: burn burn baby burn burn
14: you don't have to do
14: treated me right i i
14: i don't know i i
14: is going to change nothing
14: going to change nothing is
14: you i'll be hard on
14: to change nothing is going
14: to talk to you about
14: what do you think i
14: what am i supposed to
14: has nothing to do with
14: i call home i i
14: to get out of here
14: in love with you i
13: yeah kind of i i
13: i yeah kind of i
13: he's a jolly good fellow
13: can i do for you
13: in the sky i i
13: for he's a jolly good
13: yin yin yin yin yin
13: i told you not to
13: today we all are celebrating
13: be hard on you i'll
13: hard on you i'll be
13: am i supposed to do
13: on you i'll be hard
13: are you going to do
12: thank you thank you thank
12: you thank you thank you
12: hey hey hey hey hey
12: lyrics in spanish i i
12: i by and by i
12: thank you so much for
12: have planted a tree i
12: i have planted a tree
12: the middle of the night
12: lime i have planted a
12: color lime i have planted
12: falling in love with you
12: i love you i love
12: love you i love you
12: i don't know i just
12: i don't know what you're
12: i want you to know
12: i have to tell you
12: what do you mean you
12: i your shoes and dance
12: all are celebrating i i
12: i in the sky i
12: do you want to go
12: singing in foreign language slow
12: we all are celebrating i
12: you know what i think
12: get the fuck out of
12: i don't i don't know
12: love with you i i
12: your shoes and dance i
11: your angel it's your angel
11: us alone now i i
11: left us alone now i
11: i today we all are
11: don't know i don't know
11: i slowly secretively and stealthily
11: so what do you think
11: it's your angel it's your
11: god oh my god oh
11: you want me to do
11: guess i'm falling in love
11: i if they left us
11: if they left us alone
11: want it want it want
11: i guess i'm falling in
11: i just want you to
11: yup'ik yup'ik yup'ik yup'ik yup'ik
11: want you to know that
11: one two three four five
11: what do you think of
11: always wait for you i
11: i always wait for you
11: secretively and stealthily i i
11: slowly secretively and stealthily i
11: chug chug chug chug chug
